2014-08-15 5:55:05 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-15 5:59:53 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-15 6:10:01 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-15 6:21:24 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-15 11:17:25 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-17 3:12:51 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-17 5:45:07 - PHP Notice:  Undefined variable: addresses in C:\wamp\www\FIV3\catalog\view\theme\default\template\checkout\shipping_method.tpl on line 4
2014-08-17 5:51:50 - PHP Notice:  Undefined variable: addresses in C:\wamp\www\FIV3\catalog\view\theme\default\template\checkout\shipping_method.tpl on line 4
2014-08-17 5:52:32 - PHP Notice:  Undefined variable: addresses in C:\wamp\www\FIV3\catalog\view\theme\default\template\checkout\shipping_method.tpl on line 4
2014-08-17 14:52:07 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-18 1:25:21 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-18 2:32:37 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-18 2:37:53 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-18 9:41:21 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-18 9:48:33 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-18 9:58:33 - PHP Warning:  mail() [<a href='function.mail'>function.mail</a>]: Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp\www\FIV3\system\library\mail.php on line 150
2014-08-18 10:02:52 - PHP Notice:  Undefined offset: 3 in C:\wamp\www\FIV3\catalog\view\theme\default\template\checkout\confirm.tpl on line 63
2014-08-18 10:02:52 - PHP Notice:  Undefined offset: 3 in C:\wamp\www\FIV3\catalog\view\theme\default\template\checkout\confirm.tpl on line 73
